Country Name,Country Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kg per 2011 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CPIA public sector management and institutions cluster average (1=low to 6=high),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Land area where elevation is below 5 meters (% of total land area),Marine protected areas (% of territorial waters),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population living in areas where elevation is below 5 meters (% of total population),"Population, total","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population living in areas where elevation is below 5 meters (% of total population),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions (kt of CO2 equivalent),Urban land area where elevation is below 5 meters (% of total land area),Urban land area where elevation is below 5 meters (sq. km),Urban population,Urban population (% of total),Urban population growth (annual %),Urban population living in areas where elevation is below 5 meters (% of total population)
Ukraine,UKR,1992,98.35194397,72.37248641,419290,20.85301277,57.58522482,3.707299223,1.404904104,2.056749178,630929.352,12.09829595,30.98700423,195506.105,18.96243084,119639.542,48.46212861,305761.794,0,0,0.270481409,16.08906533,93212,0,0,-5.519902551,115569,19.5,1.786811683,54426.08,-3.511997361,8140.75,0.28765251,0,52150266,0,93.91815948,3.124244502,0.600592001,0,0,0,0,0,0,804262.83,0,0,34854630,66.835,0.346021226,0
Botswana,BWA,1992,10.36972141,45.61431369,258510,4.632785011,0.441127168,0.472542992,0.224897775,0.329245471,2779.586,1.909275308,0,0,30.07915567,836.076,70.05277045,1947.177,0,0,-0.037722892,23.78804722,134814,0,0,10.19853441,6693.47,57.2,24.99267305,6742.686,2.44E-13,400,2.722614039,0,1455833,0,89.28067017,0,44.7082734,0,0,0,1.075219989,0,0,15494.416,0,0,676133,46.443,5.232188316,0
Colombia,COL,1992,91.15319824,40.54348806,449830,15.48079033,2.767012168,0.390142123,0.223718421,0.327518923,62049.307,1.744983321,13.4921104,8371.761,57.50251167,35679.91,22.04361444,13677.91,0,0,1.478705624,57.58746282,638932.9,0,0,0.94682045,50728.2,33,-0.553062062,20200.747,0.208095897,51900.6308,1.821723084,0,35558682,0,78.64837646,68.66500729,33.22753559,0,0,0,1.10473001,0,0,178473.7778,0,0,25038646,70.415,2.485712284,0
Guatemala,GTM,1992,62.74162292,39.98693542,42850,25.28504804,12.13139231,0.27845539,0.117184235,0.171555182,6017.547,0.619819718,0.304692261,18.335,88.11700183,5302.482,0,0,0,0,0.901268293,43.29973871,46400,0,0,7.455448413,5156.11,74,10.26904648,2750.971,4.020300981,3826.5324,2.347712905,0,9708544,0,0,62.75121275,72.28554101,0,0,0,0,0,0,16635.2634,0,0,4141179,42.655,3.12909391,0
Belarus,BLR,1992,100,46.29757444,93910,22.82608696,29.99408401,3.09624568,1.149879682,1.683398948,87417.613,8.556931578,38.82713201,33941.752,50.84944838,44451.374,9.014639876,7880.383,0,0,0.041086957,38.84145139,78786,0,0,-6.817414058,17377.9,15.3,-20.54888529,16006.912,0.003705417,41519.13,0.215580681,0,10216000,0,89.58397675,0.045218779,1.047870378,0,0,0,0,0,0,170164.142,0,0,6820815,66.766,0.804436169,0
Estonia,EST,1992,100,32.41330502,13740,0,26.30337344,0,0,0,23879.504,15.57605126,6.87960688,1642.816,15.57125307,3718.338,76.28992629,18217.656,0,0,0,52.21514508,22134,0,0,-15.59742337,2876.06,17.4,-17.65984933,1639.9589,-3.739286339,13407.3649,-1.824181555,0,1533091,0,0,0.008452371,5.906591687,0,0,0,1.02500999,0,0,41259.5838,0,0,1086348,70.86,-2.086340062,0
Sub-Saharan Africa,SSF,1992,18.36482021,42.25094127,9978570,21.28423966,6.853508925,0.697998595,0.34310438,0.50229738,437483.8072,0.808111447,3.350714316,20893.60843,28.64555513,126591.4364,64.53770825,0,0,0,0.523872546,29.228361,6919186.3,0,0,12.38225738,719489.8897,177.3,13.89037009,505907.4751,22.88962768,2311745.213,2.804158498,0,541365685,0,53.74805832,20.02438267,72.42560605,0,0,0,0.82716,0,0,3987161.017,0,0,153411679,28.33790257,4.523271551,0
South Asia (IDA & IBRD),TSA,1992,43.86661144,56.75474436,2712782,26.95699609,44.46082112,1.190836243,0.353190779,0.517063651,797983.204,0.674397482,7.869051339,65034.1086,29.80166535,237812.284,58.17096484,464665.7694,0,0,0.198945667,16.51513139,789395.7,0,0,1.461259726,742671.7518,122.2153001,7.698497393,228888.4429,-0.282707587,57117.47756,2.17566155,0,1183253534,0,65.95478058,24.31774267,58.65916373,0,0,0,0.70337,0,0,1856479.797,0,0,302011909,25.52385438,3.071813799,0
Tunisia,TUN,1992,89.33674622,60.21498455,93550,16.12237155,18.71781668,0.73137668,0.29014032,0.424759144,15023.699,1.746286887,17.20771296,2585.235,66.26800098,9955.905,1.855015865,278.692,0,0,3.39259638,4.388516993,6818,0,0,11.59267116,4529.58,51.9,7.928400337,2510.0948,1.31E-11,3.5,2.180240193,0,8603225,0,69.64486694,1.047927262,14.19335076,0,0,0,0.870850027,0,0,23170.6748,0,0,5124253,59.562,3.542702089,0
Malta,MLT,1992,100,40.625,130,2.76372975,37.5,0.427206558,0.317606484,0.520309681,2024.184,5.506215691,0,0,76.99275362,1558.475,23.00724638,465.709,0,0,1.308523944,1.09375,3.5,0,0,6.65365343,195.606,10.6,1.1598239,75.22026,0,0.388,1.031640278,0,367618,0,101.6281128,0,0,0,0,0,0.947229981,0,0,2464.87426,0,0,333102,90.611,1.157370352,0
