Country,Code,Year,CO2PerGDP,CO2Total,CO2PerCapita,Population,id
South Africa,ZAF,1992,1.2519222,301687.757,7.664787409,39360225,710
South Sudan,SSD,1992,0,0,0,5599814,728
Spain,ESP,1992,0.403556023,233921.597,5.973836221,39157685,724
Sri Lanka,LKA,1992,0.111040923,5185.138,0.292274624,17740637,144
St. Kitts and Nevis,KNA,1992,0.269808311,110.01,2.65975194,41361,659
St. Lucia,LCA,1992,0.200498701,201.685,1.421067465,141925,662
St. Martin (French part),MAF,1992,0,0,0,32892,663
St. Vincent and the Grenadines,VCT,1992,0.191450958,84.341,0.780913493,108003,670
Sudan,SDN,1992,0.123809131,4378.398,0.15971432,21701476,729
Suriname,SUR,1992,0.686969742,2068.188,4.892074283,422763,740
Sweden,SWE,1992,0.287123543,51026.305,5.886699422,8668067,752
Switzerland,CHE,1992,0.220509605,42793.89,6.224236273,6875364,756
Syrian Arab Republic,SYR,1992,0,42918.568,3.254590988,13187085,760
Tajikistan,TJK,1992,0.843171858,7315.665,1.329401582,5502976,762
Tanzania,TZA,1992,0.090944834,2324.878,0.085411849,27219619,834
Thailand,THA,1992,0.363996372,109778.979,1.89804645,57837878,764
Timor-Leste,TLS,1992,0,0,0,805435,626
Togo,TGO,1992,0.251077246,836.076,0.210422147,3973327,768
Tonga,TON,1992,0.281127169,69.673,0.729590768,95496,776
Trinidad and Tobago,TTO,1992,1.854046824,19152.741,15.47712501,1237487,780
Tunisia,TUN,1992,0.424759144,15023.699,1.746286887,8603225,788
Turkey,TUR,1992,0.408618028,153108.251,2.746391761,55748875,792
Turkmenistan,TKM,1992,1.945534821,33028.669,8.469230428,3899843,795
Turks and Caicos Islands,TCA,1992,0,33.003,2.544956817,12968,796
Tuvalu,TUV,1992,0.475762317,7.334,0.805137776,9109,798
Uganda,UGA,1992,0.078797099,788.405,0.042267179,18652889,800
Ukraine,UKR,1992,2.056749178,630929.352,12.09829595,52150266,804
United Arab Emirates,ARE,1992,0.397489375,58136.618,27.86136845,2086639,784
United Kingdom,GBR,1992,0.546865585,556280.233,9.660929998,57580402,826
United States,USA,1992,0.750773686,4909533.614,19.13943728,256514000,840
Uruguay,URY,1992,0.221323338,5170.47,1.638893071,3154855,858
Uzbekistan,UZB,1992,2.940920893,111806.83,5.212682643,21449000,860
Vanuatu,VUT,1992,0.230729471,62.339,0.401557558,155243,548
"Venezuela, RB",VEN,1992,0.464450532,105972.633,5.095064708,20799075,862
Vietnam,VNM,1992,0.27560489,21477.619,0.30194691,71130448,704
Virgin Islands (U.S.),VIR,1992,0,0,0,105712,850
West Bank and Gaza,PSE,1992,0,0,0,2163591,275
"Yemen, Rep.",YEM,1992,0.315779623,9952.238,0.746851976,13325583,887
Zambia,ZMB,1992,0.194768629,2456.89,0.290677954,8452275,894
Zimbabwe,ZWE,1992,0.977459527,17011.213,1.592382589,10682868,716
Afghanistan,AFG,1993,0,1345.789,0.089154036,15095099,4
Albania,ALB,1993,0.336944419,2335.879,0.723790292,3227287,8
Algeria,DZA,1993,0.45007963,82210.473,2.958673674,27786259,12
American Samoa,ASM,1993,0,0,0,50720,16
Andorra,AND,1993,0,410.704,6.736054846,60971,20
Angola,AGO,1993,0.273596154,5775.525,0.430889258,13403734,24
Antigua and Barbuda,ATG,1993,0.326380489,271.358,3.87997941,69938,28
Argentina,ARG,1993,0.356630516,117927.053,3.457164549,34110917,32
Armenia,ARM,1993,0.58891851,2555.899,0.759983503,3363098,51
Aruba,ABW,1993,0,1595.145,22.00078616,72504,533
Australia,AUS,1993,0.82115851,277397.549,15.7014518,17667000,36
Austria,AUT,1993,0.332846999,57102.524,7.223017309,7905633,40
Azerbaijan,AZE,1993,1.923391129,48452.071,6.464585857,7495000,31
"Bahamas, The",BHS,1993,0.331322103,1701.488,6.274733096,271165,44
Bahrain,BHR,1993,0.897667241,14642.331,27.30693027,536213,48
Bangladesh,BGD,1993,0.1592912,17407.249,0.153104602,113695139,50
Barbados,BRB,1993,0.468949502,1114.768,4.237227706,263089,52
Belarus,BLR,1993,1.562744678,76768.645,7.497670183,10239000,112
Belgium,BEL,1993,0.519392442,107652.119,10.67503455,10084475,56
Belize,BLZ,1993,0.423702513,377.701,1.911287548,197616,84
Benin,BEN,1993,0.195919242,1133.103,0.205206743,5521763,204
Bermuda,BMU,1993,0.322621793,539.049,9.150381939,58910,60
Bhutan,BTN,1993,0.197529635,183.35,0.350495205,523117,64
Bolivia,BOL,1993,0.394779651,7829.045,1.076331229,7273825,68
Bosnia and Herzegovina,BIH,1993,0,12603.479,3.083043562,4087999,70
Botswana,BWA,1993,0.363004718,3197.624,2.139318241,1494693,72
Brazil,BRA,1993,0.201938886,230738.641,1.468431889,157132682,76
British Virgin Islands,VGB,1993,0,73.34,4.142800655,17703,92
Brunei Darussalam,BRN,1993,0.299177862,4968.785,17.63537663,281751,96
Bulgaria,BGR,1993,1.657006764,67861.502,8.00979638,8472313,100
Burkina Faso,BFA,1993,0.106559288,627.057,0.0656434,9552476,854
Burundi,BDI,1993,0.055515029,227.354,0.039393228,5771398,108
Cabo Verde,CPV,1993,0.227081438,110.01,0.298118771,369014,132
Cambodia,KHM,1993,0.12139113,1386.126,0.139053748,9968275,116
Cameroon,CMR,1993,0.183556757,3898.021,0.305514332,12758881,120
Canada,CAN,1993,0.727056721,445580.837,15.45362956,28833410,124
Cayman Islands,CYM,1993,0,330.03,11.52098024,28646,136
Central African Republic,CAF,1993,0.125970865,223.687,0.070314804,3181222,140
Chad,TCD,1993,0.020057885,91.675,0.013984221,6555603,148
Chile,CHL,1993,0.407315024,34627.481,2.494295837,13882668,152
China,CHN,1993,1.671307723,2878694.009,2.442800659,1178440000,156
Colombia,COL,1993,0.322450826,64022.153,1.768803864,36195168,170
Comoros,COM,1993,0.143048795,69.673,0.155079083,449274,174
"Congo, Dem. Rep.",COD,1993,0.108888076,2592.569,0.066760984,38833595,180
"Congo, Rep.",COG,1993,0.144631895,1320.12,0.498439309,2648507,178
Costa Rica,CRI,1993,0.195477415,3953.026,1.183185055,3341004,188
Cote d'Ivoire,CIV,1993,0.19590541,5346.486,0.392468001,13622731,384
Croatia,HRV,1993,0,16750.856,3.610098276,4640000,191
Cuba,CUB,1993,0,29380.004,2.721848856,10794135,192
Curacao,CUW,1993,0,0,0,144299,531
Cyprus,CYP,1993,0.593783643,5449.162,6.655456909,818751,196
Czech Republic,CZE,1993,1.064357595,132631.723,12.83965002,10329855,203
Denmark,DNK,1993,0.544465921,57065.854,10.99825503,5188628,208
Djibouti,DJI,1993,0,311.695,0.503957186,618495,262
Dominica,DMA,1993,0.178890361,62.339,0.8754248,71210,212
Dominican Republic,DOM,1993,0.354688356,11763.736,1.545528489,7611465,214
Ecuador,ECU,1993,0.417459375,24205.867,2.210338829,10951202,218
"Egypt, Arab Rep.",EGY,1993,0.361487265,93156.468,1.520286484,61275601,818
El Salvador,SLV,1993,0.197717319,3795.345,0.693340336,5474000,222
Equatorial Guinea,GNQ,1993,0.224097558,99.009,0.210384395,470610,226
Eritrea,ERI,1993,0,0,0,3099047,232
Estonia,EST,1993,0,19508.44,13.05673945,1494128,233
Eswatini,SWZ,1993,0.037623342,132.012,0.142866264,924025,748
Ethiopia,ETH,1993,0.143980863,3028.942,0.056580884,53532956,231
Faroe Islands,FRO,1993,0,583.053,12.50113636,46640,234
Fiji,FJI,1993,0.237514147,751.735,0.99564121,755026,242
Finland,FIN,1993,0.569793116,50402.915,9.948375064,5066447,246
France,FRA,1993,0.317416977,359916.05,6.089252757,59106768,250
French Polynesia,PYF,1993,0,425.372,2.041671266,208345,258
Gabon,GAB,1993,0.359549051,4990.787,4.838359328,1031504,266
"Gambia, The",GMB,1993,0.176350263,187.017,0.185466868,1008358,270
Georgia,GEO,1993,1.204287876,9952.238,2.026478386,4911100,268
Germany,DEU,1993,0.495237185,877645.112,10.81424893,81156363,276
Ghana,GHA,1993,0.201929672,4547.08,0.286044063,15896432,288
Gibraltar,GIB,1993,0,238.355,8.046281606,29623,292
Greece,GRC,1993,0.505143439,75712.549,7.238006236,10460415,300
Greenland,GRL,1993,0,498.712,9.034637681,55200,304
Grenada,GRD,1993,0.251821915,121.011,1.230975027,98305,308
Guam,GUM,1993,0,0,0,139818,316
Guatemala,GTM,1993,0.151607348,5658.181,0.569308416,9938692,320
Guinea,GIN,1993,0.164021679,1089.099,0.152040084,7163236,324
Guinea-Bissau,GNB,1993,0.151688943,183.35,0.168432134,1088569,624
Guyana,GUY,1993,0.571793552,1045.095,1.387016844,753484,328
Haiti,HTI,1993,0,663.727,0.088136104,7530705,332
Honduras,HND,1993,0.223760924,2849.259,0.527757346,5398805,340
"Hong Kong SAR, China",HKG,1993,0.272463868,34964.845,5.925240637,5901000,344
Hungary,HUN,1993,0.71161958,61917.295,5.978002173,10357523,348
Iceland,ISL,1993,0.339186381,1976.513,7.49459854,263725,352
India,IND,1993,0.606944381,723697.118,0.783172984,924057817,356
Indonesia,IDN,1993,0.307185827,218600.871,1.145229554,190879523,360
"Iran, Islamic Rep.",IRN,1993,0.453491026,237214.563,4.021184357,58991218,364
Iraq,IRQ,1993,0.724776189,63362.093,3.33275666,19011917,368
Ireland,IRL,1993,0.552973994,31261.175,8.74130132,3576261,372
Isle of Man,IMN,1993,0,0,0,69656,833
Israel,ISR,1993,0.491516521,45074.764,8.567717924,5261000,376
Italy,ITA,1993,0.356311454,411917.777,7.248012993,56831821,380
Jamaica,JAM,1993,0.554142509,8005.061,3.216457287,2488782,388
Japan,JPN,1993,0.409612589,1109887.223,8.912179795,124536000,392
Jordan,JOR,1993,0.611800761,12101.1,2.888482947,4189431,400
Kazakhstan,KAZ,1993,1.905933993,217621.782,13.32616034,16330419,398
Kenya,KEN,1993,0.161344307,6347.577,0.246468467,25754114,404
Kiribati,KIR,1993,0.29030569,29.336,0.387432481,75719,296
"Korea, Dem. People’s Rep.",PRK,1993,0,0,0,21265834,408
"Korea, Rep.",KOR,1993,0.669927103,321951.599,7.284858219,44194628,410
Kuwait,KWT,1993,0.414601628,33274.358,0,0,414
Kyrgyz Republic,KGZ,1993,1.204407743,8621.117,1.908720305,4516700,417
Lao PDR,LAO,1993,0.043277782,256.69,0.055521188,4623280,418
Latvia,LVA,1993,0,12016.759,4.688021644,2563290,428
Lebanon,LBN,1993,0.509016806,11683.062,4.027456053,2900854,422
Lesotho,LSO,1993,0.892595057,1635.482,0.961843419,1700362,426
Liberia,LBR,1993,0.658338056,315.362,0.15766145,2000248,430
Libya,LBY,1993,0,38947.207,8.190292325,4755289,434
Liechtenstein,LIE,1993,0,0,0,29919,438
Lithuania,LTU,1993,0,17495.257,4.750772617,3682613,440
Luxembourg,LUX,1993,0.763243484,10788.314,27.14211963,397475,442
"Macao SAR, China",MAC,1993,0.098448012,1180.774,3.188308199,370345,446
"Macedonia, FYR",MKD,1993,1.122718647,10340.94,5.212093781,1984028,807
Madagascar,MDG,1993,0.079394587,1030.427,0.081293065,12675460,450
Malawi,MWI,1993,0.16415066,891.081,0.091338055,9755857,454
Malaysia,MYS,1993,0.525704684,91722.671,4.704941075,19494967,458
Maldives,MDV,1993,0,198.018,0.816707155,242459,462
Mali,MLI,1993,0.054127601,454.708,0.049937884,9105472,466
Malta,MLT,1993,0.637107701,2651.241,7.140274381,371308,470
Marshall Islands,MHL,1993,0.570157992,62.339,1.245584239,50048,584
Mauritania,MRT,1993,0.224642779,982.756,0.446749714,2199791,478
Mauritius,MUS,1993,0.277612855,1774.828,1.617341034,1097374,480
Mexico,MEX,1993,0.445236833,339468.858,3.746878153,90600453,484
"Micronesia, Fed. Sts.",FSM,1993,0.447015941,99.009,0.952614159,103934,583
Moldova,MDA,1993,0,15628.754,4.222846258,3701000,498
Monaco,MCO,1993,0,0,0,30138,492
Mongolia,MNG,1993,1.479103728,9284.844,4.102529162,2263200,496
Montenegro,MNE,1993,0,0,0,610170,499
Morocco,MAR,1993,0.394463683,28217.565,1.075470386,26237417,504
Mozambique,MOZ,1993,0.284314425,1078.098,0.073655692,14636995,508
Myanmar,MMR,1993,0.219093822,5342.819,0.126577756,42209778,104
Namibia,NAM,1993,0.215249998,1389.793,0.890902657,1559983,516
Nauru,NRU,1993,0,113.677,11.69636794,9719,520
Nepal,NPL,1993,0.081203213,1466.8,0.072180866,20321175,524
Netherlands,NLD,1993,0.510627716,164802.314,10.77817839,15290368,528
New Caledonia,NCL,1993,0,1837.167,9.957760602,184496,540
New Zealand,NZL,1993,0.468841324,26688.426,7.471145513,3572200,554
Nicaragua,NIC,1993,0.265059939,2302.876,0.520238197,4426580,558
Niger,NER,1993,0.160287219,781.071,0.088332316,8842415,562
Nigeria,NGA,1993,0.218594033,45137.103,0.439240366,102761737,566
Northern Mariana Islands,MNP,1993,0,0,0,50602,580
Norway,NOR,1993,0.378201563,35148.195,8.151268173,4311991,578
Oman,OMN,1993,0.248505805,13457.89,6.494772722,2072111,512
Pakistan,PAK,1993,0.294494657,78008.091,0.668166038,116749560,586
Palau,PLW,1993,0,234.688,14.36103292,16342,585
Panama,PAN,1993,0.232607121,3942.025,1.499071737,2629644,591
Papua New Guinea,PNG,1993,0.189016058,1994.848,0.428891747,4651169,598
Paraguay,PRY,1993,0.145963326,2867.594,0.631364129,4541902,600
Peru,PER,1993,0.272172093,23615.48,1.018601094,23184228,604
Philippines,PHL,1993,0.279605275,49482.498,0.742420324,66650247,608
Poland,POL,1993,1.402078275,353253.111,9.18461204,38461408,616
Portugal,PRT,1993,0.357173111,46926.599,4.709295486,9964675,620
Puerto Rico,PRI,1993,0,0,0,3615497,630
Qatar,QAT,1993,0,30722.126,61.25240945,501566,634
Romania,ROU,1993,1.175917858,125297.723,5.504379114,22763280,642
Russian Federation,RUS,1993,2.03419663,1938445.873,13.05174975,148520000,643
Rwanda,RWA,1993,0.118223057,495.045,0.078579706,6299909,646
Samoa,WSM,1993,0.260769967,110.01,0.657927001,167207,882
San Marino,SMR,1993,0,0,0,25141,674
Sao Tome and Principe,STP,1993,0,47.671,0.39265446,121407,678
Saudi Arabia,SAU,1993,0.548786388,313818.193,17.57125341,17859750,682
Senegal,SEN,1993,0.350499808,3593.66,0.434427726,8272170,686
Serbia,SRB,1993,0,0,0,7699307,688
Seychelles,SYC,1993,0.226885146,183.35,2.537610895,72253,690
Sierra Leone,SLE,1993,0.141168943,447.374,0.103864162,4307299,694
Singapore,SGP,1993,0.548865282,51187.653,15.44834797,3313471,702
Sint Maarten (Dutch part),SXM,1993,0,0,0,0,534
Slovak Republic,SVK,1993,1.083876217,42881.898,8.05247737,5325305,703
Slovenia,SVN,1993,0,13164.53,6.609542582,1991746,705
Solomon Islands,SLB,1993,0.280368662,143.013,0.421300551,339456,90
Somalia,SOM,1993,0,641.725,0.085337916,7519811,706
South Africa,ZAF,1993,1.285450464,321049.517,7.966457429,40300161,710
South Sudan,SSD,1993,0,0,0,5490915,728
Spain,ESP,1993,0.373311283,219253.597,5.570288803,39361262,724
Sri Lanka,LKA,1993,0.0986612,5042.125,0.281233992,17928576,144
St. Kitts and Nevis,KNA,1993,0.254494374,113.677,2.716555943,41846,659
St. Lucia,LCA,1993,0.21588734,223.687,1.558088671,143565,662
St. Martin (French part),MAF,1993,0,0,0,33238,663
St. Vincent and the Grenadines,VCT,1993,0.21837123,102.676,0.949894534,108092,670
Sudan,SDN,1993,0.079810798,3021.608,0.106719319,22535937,729
